ROI,Group_A,Group_B,n_A,n_B,Mean_A,Mean_B,p_value,Significance
ROI.D [],2hz,5hz,3,1,1.3333333333333333,1.0,1.0,ns
ROI.D [],2hz,5s,3,3,1.3333333333333333,2.6666666666666665,0.3536785173184648,ns
ROI.D [],2hz,Ctrl,3,1,1.3333333333333333,1.0,1.0,ns
ROI.D [],2mw,5hz,1,1,1.0,1.0,1.0,ns
ROI.D [],2mw,5s,1,3,1.0,2.6666666666666665,1.0,ns
ROI.D [],2mw,Ctrl,1,1,1.0,1.0,1.0,ns
ROI.D [],5hz,5s,1,3,1.0,2.6666666666666665,1.0,ns
ROI.D [],5hz,Ctrl,1,1,1.0,1.0,1.0,ns
ROI.D [],5s,Ctrl,3,1,2.6666666666666665,1.0,1.0,ns
ROI.E [],10s,20s,2,3,1.5,1.6666666666666667,1.0,ns
ROI.E [],10s,2hz,2,1,1.5,1.0,1.0,ns
ROI.E [],10s,5hz,2,2,1.5,1.5,1.0,ns
ROI.E [],20s,2hz,3,1,1.6666666666666667,1.0,1.0,ns
ROI.E [],20s,5hz,3,2,1.6666666666666667,1.5,1.0,ns
ROI.E [],2hz,5hz,1,2,1.0,1.5,1.0,ns
ROI.F [],10s,1mw,1,1,1.0,1.0,1.0,ns
ROI.F [],10s,2hz,1,4,1.0,1.5,1.0,ns
ROI.F [],10s,5hz,1,1,1.0,3.0,1.0,ns
ROI.F [],10s,5s,1,1,1.0,2.0,1.0,ns
ROI.F [],1mw,2hz,1,4,1.0,1.5,1.0,ns
ROI.F [],1mw,5hz,1,1,1.0,3.0,1.0,ns
ROI.F [],1mw,5s,1,1,1.0,2.0,1.0,ns
ROI.F [],2hz,5hz,4,1,1.5,3.0,1.0,ns
ROI.F [],2hz,5s,4,1,1.5,2.0,1.0,ns
ROI.F [],5hz,5s,1,1,3.0,2.0,1.0,ns
