Time (s),ROI.01 [],ROI.02 [],ROI.03 [],ROI.04 [],ROI.05 [],ROI.06 [],ROI.07 [],ROI.08 [],ROI.09 [],ROI.10 [],ROI.11 [],ROI.12 [],ROI.13 [],ROI.14 [],ROI.15 [],ROI.16 [],ROI.17 [],ROI.18 [],ROI.19 []
66.284,0.0,0.08062419874662334,0.5432787127947725,0.018603095860446395,0.02130540763537883,0.008993784980083915,0.04096967142597506,0.02010205376661605,0.009780430120179373,0.02371220789602766,0.019456318803757474,0.0035426308615491976,0.05966828122482331,0.014339114329926995,0.00968088246024303,0.015793717725455052,0.011994816024924672,0.008173347368605486,0.009774010265269625
66.777,0.0,0.1097095245873481,0.6409047633375466,0.04142416909228327,0.015110024185519547,0.014791428218215727,0.03758239607294304,0.027092746169503207,0.024935866884047097,0.010850001359679201,0.018690034874814028,0.02164916528838171,0.03927108550831435,0.006383286287043964,0.013544146030021641,0.02159875054180278,0.008528872416968628,0.01360342233264373,0.021008784734904754
67.277,0.0,0.08633580753658941,0.16809730015956542,0.031157878182556775,0.001576512140486699,0.017550137456734,0.01876471028242772,0.014256375857066,0.00890138286177459,0.029216303097262062,0.01967717083277359,0.0007109748295295798,0.0182263422024992,0.007266565450610991,0.005416900850141986,0.01448018825484337,0.004635117495039176,0.003561919871251826,0.01596651202123483
67.777,0.0,0.04425373110698378,0.02456644672339285,0.01810734873259394,-0.0019256404458063861,-0.01079547923505472,-0.014127991449524424,0.0013234508021646642,0.002592746905467635,0.01443289019637949,0.007163201712190904,-0.0020306702629193218,0.012063846778550739,0.013074377976132983,0.0017074100296019395,0.006141162030015533,0.0031141844901449696,0.009099627372787758,0.010999343581248397
68.277,0.0,0.06715953847458703,0.11981089713900027,0.0064488995646844564,0.006371567882215302,0.009294119175983584,-0.023486410452753338,0.009801920903727427,0.008244151794383843,-0.004596130644924789,0.01421414313806654,0.003904817048408908,0.013993278750152877,0.008983549094388574,0.009222008817768763,0.011290366855542735,0.003503559144075912,0.0033899837304314185,-0.0017285321962392133
68.778,0.0,0.09035406292577759,0.105708748585603,0.02573868501794503,0.02103702796085021,0.006887451671017587,0.049883032931092385,0.016531686377040312,0.026717688169920727,0.016857250352724753,0.0097504651801335,0.006992806887909623,0.03467119716783412,0.015014712660149272,0.01547196403230623,0.012219587998590884,0.017652056173292466,0.01463118437830056,0.005799155062104091
69.277,0.0,0.06289728571597776,0.2579069392446384,0.016280828200962178,0.00622284455931615,-0.0004996162953294262,-0.04182894056460829,0.01983876815595529,0.009005195841836658,0.008781165970450545,0.01089686217901757,0.003988774427703285,0.02304767229192291,-0.006113356487101882,0.0017418796047976189,0.006601578381750114,0.011489339315301132,0.0008510189023142888,0.004789336524718388
69.777,0.0,0.062079080237052685,0.1169006611266487,0.025372667221758807,0.006207863694107086,0.01790993415793819,0.03165052648672945,-0.002879627952865925,0.005378528051535376,0.04525279217123356,0.012856898922371114,0.0035938738373476643,-0.004377242107459371,-0.0022350324274827533,0.004988770911152519,0.016844492628431518,0.011959410776214692,0.00014500553161328578,0.0005329110188999618
70.276,0.0,0.04507572607746171,0.19077295301448116,0.001519228512072878,0.011535114502013975,0.007379770371916702,0.05927223481880985,0.015742990660600874,0.004174422680281566,0.0140001905932004,0.013565175517320222,0.00461475440731688,0.027774620584753006,0.010339602773040194,0.007130248243570716,-7.056248765387912e-05,0.004526224194713228,0.010090370923743763,0.007530253354412092
70.787,0.0,0.07175308490392127,0.17438354186406216,0.01778976318988862,0.018284080500677966,0.03941665915196628,0.08006940697821621,0.013981439276126576,0.018087770064289587,0.02705837043111269,0.011657051207651007,0.012582271549497186,0.03420173688650222,0.009808686158498765,0.015284873312297876,0.007463253488402937,0.024110396972096913,0.002923034014112308,0.0183934203533165
