Time (s),ROI.01 [],ROI.02 [],ROI.03 [],ROI.04 [],ROI.05 [],ROI.06 [],ROI.07 [],ROI.08 [],ROI.09 [],ROI.10 [],ROI.11 [],ROI.12 [],ROI.13 [],ROI.14 [],ROI.15 [],ROI.16 []
107.777,0.0,9.545043033332096,1.635312912134623,0.008705648041853517,0.02433854168267839,0.005377706132511845,0.05072851815588094,0.007844048095459435,0.00493249478973087,0.019762923326459268,0.060867649030593635,0.0004746700725615122,0.01746461041825227,0.019576914127023382,0.011421308160246233,0.062263903056255204
108.277,0.0,40.78784496977375,1.0719954657131223,0.045711751782015544,0.02261485130911399,0.0036713957872439216,0.054030506795396595,0.011632365742869634,0.01385015855883339,0.0240132010618904,0.05179173974603999,0.021641691979189567,0.014636157440043448,0.032711529579058214,0.018514208342199807,0.016121715903662903
108.777,0.0,0.27983960513974443,0.21881124875352356,0.03377310949814311,0.0037705125490038395,-0.0030678568984932536,0.024938855676773394,0.002898990812795016,0.003578358088873329,-0.00735426373707962,0.006352505365891742,0.01034649820729462,0.011011185862934106,0.017082349456325197,-0.0015922085408320466,0.009277035071718861
109.286,0.0,-10.911351847411943,0.08425543912857825,0.002987429373593374,0.007798393679352588,0.011288379776544849,0.02775234137964185,-0.0008278711484170156,0.008227844170324473,0.00020334187956023506,0.030843269985334563,0.014957489749406047,0.024569949180161532,0.024291524490347962,-0.005438239227322182,0.03405861559723307
109.786,0.0,10.67215276843136,1.4601776671127964,0.015757125897885037,0.0037081253121034716,0.011637982046560004,0.028097575827156177,0.016693875057392508,0.010621700454286837,0.0318207703224844,0.06524955777503402,0.00575662846144562,0.020556898401134612,0.0018740211855976477,0.0038879077776508616,0.010139920270612418
110.278,0.0,23.781142940341233,1.532540010962624,0.008752230073953435,0.011476038058537455,0.0030221485471553493,0.025447772781861555,0.0016601880254950609,0.016879590660046597,0.011715259321058512,0.0002649419596285302,0.009893913655548313,-0.00184228004635598,0.01478750958146628,0.0028384886230571147,-0.011105809964241842
110.778,0.0,-4.581103729060493,0.49547241441500306,-0.03306017796699908,0.006470569848342319,0.0011457491000424094,0.0032879513027481936,0.0011245490948890609,0.006071850478362932,0.001591017587057352,0.06434825773574174,0.024173319165599283,5.164945167685786e-05,0.018783390603406534,0.009878715942192372,0.03442022308678759
111.278,0.0,7.954782749263517,0.9615714081078521,0.016008260158181537,0.011422994856382002,0.005135525946923799,0.029611695630509634,0.009353207974940322,0.005701909583418621,0.0015497086579836818,0.05046550596264884,0.028479404407239433,0.04130873747754361,0.01606581915687153,0.005923191894261422,0.03747638520563433
111.78,0.0,5.371969610150244,1.6819071692167573,0.029582507737808374,0.00942382482996128,0.00464994269393662,0.043341719226624525,6.765077763027103e-05,0.01803522287898844,0.02188430930130244,0.06349715577392785,0.01440515501996393,0.006425724346235315,0.007383192119932406,0.020474339581908512,0.03845484583071762
112.283,0.0,4.955302700263762,0.8131974379062136,0.04538855637376643,0.008177643920346313,0.011661535163528568,0.02365356713669391,0.012886910659106392,0.013705591122207447,0.02160820114486739,0.06038261755833698,0.01646501891542407,0.054234391301672895,0.03601831458247355,0.00047973117475495894,0.04979507636084412
112.786,0.0,32.34396659837356,1.4711590495288915,0.02001236965588886,0.008221045536656185,0.012591050819283807,0.022952004519762197,0.006918159151849073,0.009362577003262885,0.014611252378058175,0.043448784930434206,0.024444227339059363,0.016841905064894316,0.010640094488208796,0.010456190017143348,-0.0008959901531475467
113.278,0.0,24.430105268796456,0.8476705211230432,0.03359112821746996,0.001978565367661105,0.016019059804220324,0.006854988878562944,0.008558520959454401,0.004363149614317308,-0.006673785130550312,0.0029953152161674356,0.010025373369494158,0.03197114156861441,0.023727080615916937,0.01905313755223083,0.044521753068698044
113.776,0.0,19.474337133901003,1.0202776801894828,0.0019433264618062068,0.018396355074579547,0.017877113829274045,0.04825926608525137,0.00622665063305567,0.0005281826798318042,0.018046213924411053,0.09415887333060857,0.02189512585583301,0.008570588857238229,0.02969682649848589,0.012266413654590523,0.057858855044386336
114.277,0.0,33.00225539387422,0.7216346050931817,-0.015768618859551005,0.015557254222234763,0.013655181252187693,0.028034944633150805,0.008600294758238036,0.013390566407312288,0.02300678308514585,0.09428504097422928,0.01160329770852531,0.007489425178141597,0.015332995354011272,0.024791591177986072,0.05569211011630404
114.778,0.0,31.34817986174208,0.8810897236228172,0.04136555363916974,0.0051018339671529255,0.02352387827721657,0.03841061541525067,0.012021402138972312,0.011762927923454828,0.031464797161777046,0.05616148423032869,0.03107790998866994,0.02333073616528729,0.02380136375784375,0.007388034260994393,0.0232463310799755
115.277,0.0,-2.1354502325152627,0.3110842794967225,-0.0007822335643867219,-0.004649001550583854,0.011109937491928002,0.013112617894852966,0.004891291266808226,0.0020223225896535695,0.01931388039521299,0.0703199335291318,0.003103236371152544,0.026658414609200223,0.01368460412552792,0.011744127844747832,0.04927951133897804
115.778,0.0,19.671534353966134,0.6039007632660569,0.007804152283169616,0.008708642111270896,0.016031139731557308,0.04377092606329121,0.013487304940551078,0.013865997188723061,0.023909982215482885,0.04296452737282861,0.012616189356668457,0.028093681268782138,0.005255185536621204,0.008203130239534121,0.060892539609608075
116.277,0.0,15.398977278277675,0.9944922129686207,0.0029064680994145323,-0.002403567229630064,0.011123400327720618,0.04545086831619314,0.014838506645162843,0.00957085313963205,0.03373173747434143,0.11619401424014121,0.012564168368776486,0.014208450804185471,0.02649683101954289,0.013007865762214759,0.012238315345565624
116.778,0.0,15.143656343097314,0.7135370325290672,0.031337470732261424,0.013353498996076164,0.01179057271650801,0.048289877317049965,0.007803704817042071,0.008674485980001534,0.014212797028729449,0.04805967879164728,0.005564264256732569,0.0238470933958326,0.01221326472378638,0.01410981844738727,0.02816735662917752
117.277,0.0,33.70365161538291,1.2054457590672687,0.0462173776252797,-0.0025324249822484563,0.015040314031385288,0.008515547945856109,0.010115362401876207,0.010174292278212167,0.024107680900784877,0.10364586994707417,0.034557675247166006,0.02812327096756284,0.006087879695710973,0.022741453128773546,0.006368428934681763
117.776,0.0,8.530665995084185,0.8868419463386995,0.03625225662675436,0.012924344897189726,0.01833134126597723,0.034932671894122344,0.008912208833740462,0.006682013715838156,0.017081255542702636,0.14169860637961393,0.026145210837635408,0.05461905571048649,0.03535763010134821,0.01644885595667054,0.009328527908173987
118.278,0.0,12.220552176226956,0.6176282839940612,0.02426827002631583,6.292017584070514e-05,0.013764013558865546,3.8867609444694566e-05,0.008569608413188178,-0.0008500874444006411,0.01660148599387726,0.06927909460931772,0.007804524113283044,0.006677324979317057,0.036738205690371166,0.010591376646588855,0.03794572574146711
118.778,0.0,-0.7064317163923918,1.2252924287750884,-0.00831872828045822,0.010654235078647462,0.00040978258845282556,0.013070723405850944,-0.0007298489389267411,0.0006692362805095128,0.017081125580997832,0.10391281622174255,-0.002865011394404725,0.029210892129023072,0.007480042794370353,0.007745780593983427,0.00866814160019748
119.278,0.0,2.4109532702834695,0.29778669946548175,0.007604391113836781,0.016183069587095252,0.005569024840435793,0.0219436737140087,0.0045211214897351,0.00015824747052032608,0.005307289044478321,0.04831255005749217,-0.000871372200086391,0.025538592611063556,0.0005458702584371877,0.01578647123783415,0.03685796765227204
119.778,0.0,16.31272102085974,0.6602720874594602,0.0152676896311054,0.015754779382618045,0.007317988178866996,0.0563492063128553,0.018415318115591797,0.004952111091699648,0.025491318794951385,0.05070541365986928,0.02195835580145167,0.025894170643115687,0.01169305707876147,0.015763631317901473,0.02360052199788611
120.278,0.0,11.86962378744802,0.15423032180879073,0.0003042019417059286,-0.005412111761814116,0.008767634247707348,0.004143347790797678,0.006985692869179959,-0.0001915349106172631,0.01951650782443982,0.11987806781467292,0.021419538371742576,0.03982222924538286,0.028809520253681827,0.007732306659863447,0.036183202157536704
120.777,0.0,41.16352755715339,0.7553815896870053,0.0017954340679884645,0.010431025819832369,0.011083927872558822,0.06617809121465565,0.013167400364773964,0.011562418157918359,0.029366862797627936,0.19115263802394186,0.024895477094009924,0.027180570772057107,0.025185947539712712,0.015141959442620194,0.05027962066808593
121.278,0.0,13.31021314887889,0.437891803855636,0.020040045549680748,0.006023878715236503,0.0017090536529000247,0.048902775951983696,0.0028867725452540295,-0.0016894701553296927,0.017921208552982307,0.05907661865089933,0.02007031867260105,0.019873499348700835,0.020294155428436513,0.020491524151478573,0.02448018348979592
121.777,0.0,19.256239920770685,0.3272469472364837,-0.014172574930882137,0.0026467781478246915,0.006418487580825093,0.033399528748775345,0.005576512895031113,0.0021282564472846974,-0.0016380538002195345,0.058219059412283516,0.00276259376160961,0.017041795428789256,0.020404624482232486,0.004307792966224883,0.016910424256649403
122.277,0.0,29.124447639348386,0.21708324989223346,0.024524935256245127,0.013097018953918784,0.005845221862558027,0.005148928188318365,0.011943965898911975,0.005807301534773539,0.005253967489224116,0.10115628491937095,-0.0031634410741188746,0.016850411287870074,0.022668964154177157,0.012440005188588978,0.05569632527509891
122.777,0.0,14.772770077708254,0.4309403016015808,0.04857062791735509,0.009115671204103561,0.007360891916633274,0.03753129300232718,0.009836555168919008,0.001156720776207214,0.013267527622090092,0.07755823035021175,0.01410721550130068,0.039424629528926336,0.010490889437788978,0.014675429796793173,0.04057061005177023
123.278,0.0,15.307668226359073,0.025083104412979642,0.027549795214749852,0.0095250019245939,0.003068983786950908,0.015638343827913206,0.002366213430425225,0.003716960729063709,0.0039014535026280902,0.01355216467023323,0.011866282107437046,0.0033519289156221962,0.005511175449256164,0.014797004912285703,0.00034844061511285235
123.777,0.0,18.001337624090592,0.3302319310594362,0.03304973340199307,-0.00013981870301606495,0.011851940989075237,0.03738971999106798,0.014692542646998954,-0.012713333322244344,0.01603356763558702,0.08603469958658592,0.022414929657083416,0.020354339309624714,0.009481556563259533,0.007481294007450799,0.028619893670729847
124.278,0.0,-12.410656634007722,0.06420292055530513,0.023104914348306093,0.000491933086927379,0.007539630200562374,0.028925524790778805,-0.001106835281375014,-0.004848877756670603,0.031905696798848776,0.053236645305073056,0.016497881407475976,0.06007038515044038,0.010885011889565909,0.0003831176739903951,0.06687671538766324
124.788,0.0,2.1005483630729067,0.08463711551234375,0.04413198184495199,0.006689732255772902,-0.0003790591005173667,0.002245554486779044,0.0004816382328257429,0.004197893056890114,0.016157890552063396,0.04015121924931687,0.016631626179043357,0.0034089704321611557,0.03707343330433887,0.01731198426718644,0.009664462696936606
125.278,0.0,3.1104309914258255,0.32254121719732715,0.030048164364052693,0.0013487737622850467,0.0077705399485013755,0.01780390092486611,0.0011878524799811387,0.0006990353000462833,0.01675613792908495,-0.006872321801884783,0.006872714229703965,0.04952033617377794,0.014509666409171047,0.00632599370000925,-0.017802574308883407
125.777,0.0,1.4222143711292772,0.27792908072195094,0.02796256709822772,0.002616985477751386,0.004222672939038581,0.03303761003241895,0.0002805382805009707,0.003264536054603488,0.005227175905440753,0.09868587535757338,0.024165320978534428,0.03904192977343299,0.027971894049351676,0.01023923678228069,0.02828125343310028
126.278,0.0,4.2070858825582995,0.6820549318396701,0.024132961273167258,0.015364290308643334,0.004500536223977439,-0.017075894024000966,-0.004508574484820739,0.007210883805245545,0.012966524381632807,0.07942364582279876,0.01891711087287537,0.017696117495188304,0.020873986786904393,0.02279136718846028,0.021983186019663925
126.778,0.0,0.8960127565085002,-0.15658102407240443,0.04100444913696765,0.0060512134409971465,0.008032511016766351,-0.011841066204931958,-0.00019815579829331068,5.320300958991889e-05,0.0098805153902625,0.010805115823600182,0.0028486871212791867,0.008255967250527558,4.3454041645908556e-07,0.009225195453218094,0.04311507220729979
127.277,0.0,5.626452634167991,0.455658720190199,0.03816086384342184,0.01559491060190933,0.0068922902173227454,0.022864177470149127,0.00431202346360735,0.013667608968736646,0.006409929676623779,0.08179903648811676,0.015220811073376599,0.026603823200670812,0.017550513125501585,0.023738456631507077,0.026418133909020335
127.777,0.0,7.074552115896304,0.8335046762001934,0.06507490122043412,0.015805550316773626,0.0016340540898155966,0.03850223019332665,0.004529919340947583,0.0005387617071907561,0.009852984094891333,0.05956350618542203,0.023739254480818664,0.020611476445112405,0.02256099682506836,0.012643285660705408,0.010536338285681766
128.278,0.0,1.7109355867442144,0.06954515627555626,0.06778574530247328,0.019873422555822428,0.011004619503521388,0.009819297786257923,0.009342766536661357,0.0060233290028135775,0.010468363163861169,0.0017180804504712903,0.020472032363208287,0.02935207988935093,0.002008011249089605,0.02496110892300699,0.010538231080635852
128.778,0.0,2.865871437614964,0.16188153228730717,0.10066879154525335,0.02165370115386827,-0.0007725119384427905,0.017290936879953665,0.008932686293702401,0.00316735152442755,0.011174446299941394,-0.02517709642308623,0.02541173092341992,0.03182285387071005,0.012396492258423287,0.010749298403205222,-0.004853265182133342
129.278,0.0,7.432938402260125,0.9286463702369071,0.13456935567039716,0.011620508522210256,0.018261726224030325,0.028933232148872806,0.00731157564323421,0.011316185170224407,0.013664885478209881,0.13622556720130372,0.03888086066061661,0.022885018977360692,0.028161957131053815,0.02541679986486946,0.025933625853274054
129.785,0.0,1.9865255060685476,0.056457327507487796,0.10308390921500798,0.01965991324790899,0.005767656135050636,0.02778986909349383,0.009438454302625207,0.0012242957026590126,0.02754741128762184,0.07534991321998095,0.01793549368899355,0.026472564254626775,0.011308403253064672,0.015876103708042016,0.010282189628566125
130.278,0.0,4.979839695772404,-0.4423643824082011,0.08307054515791183,0.022857507093024206,0.002480278765240027,0.038240577809578555,0.014067399425186856,0.005700345169450764,0.011501682773404881,0.10819557105342406,0.021730590298219495,0.026059688338245367,0.021095942696308417,0.01430371075533882,0.05489778178889301
130.777,0.0,0.09152257029186163,0.08865330049422587,0.07631498050475466,0.014348170044849763,0.004765461049233938,0.009414884963219653,0.00646035900561115,0.005114712714502436,-0.007922909527208115,0.02859506721548902,0.0116242353504582,-0.004205863700425163,0.0002823757172208508,0.010851203582049022,0.014878662048081253
131.277,0.0,10.99668511147167,1.4553585653178311,0.08663786801235691,0.031536230718121235,0.005635579721703266,-0.0030765369662988746,0.009642677211546491,0.012533217293579365,-0.0037751696282856332,0.09345805033886194,0.023707824784288765,-7.712907338832879e-05,0.016141593842193578,0.018753821864048486,0.03142868408217797
131.779,0.0,14.07220395509385,1.1637022087192113,0.09282338222820091,0.02550253178971006,0.019558941740198028,0.03788379195734154,0.008936982868840624,0.00971359720907183,0.01108533131681543,0.13628683473263745,0.027680690837171402,0.01890908529410182,0.010843267770852498,0.019110098349818076,0.007496553015352365
132.28,0.0,14.05899266202587,1.255027449463331,0.11465175484453655,0.029263353900128887,0.010462481172483724,0.015059353236875381,0.005638740589322519,0.0056806844051140015,0.01684902053963948,0.09627868729890929,0.01545568456529036,0.005220138256405028,0.010798369675529471,0.004565913216759867,0.047347259563075894
132.782,0.0,9.707060479153167,1.3616802367360907,0.06919945055220976,0.010831539051094673,0.0056604479685745425,0.031205233741928278,0.010303498096593948,0.008289330519647017,-0.004197582010722763,0.031654561410404645,0.007657112434085448,0.0313403968161211,0.01789491690923237,0.0020193131506346467,-0.007086404978201747
133.286,0.0,7.912280902414404,1.3654405065207045,0.08597178430440713,0.027615581538979302,0.016903350700662984,0.06174829522382689,0.006354273369239397,0.008966480850854086,0.019337191176669412,0.0958677242555883,0.014757587781481887,0.017935996832474044,0.02880816101123846,0.012385795234260226,0.04164262744905117
133.784,0.0,8.127000237462203,1.411021757120306,0.09946155095372726,0.015627171765961304,0.013469452546581715,0.026938886147527458,0.008656010531984181,0.006839710830017118,0.01806138877905121,0.1327907120026315,0.017243836924523196,0.02784655821392132,0.025938067209349793,0.013903002940757421,0.057776809891769185
134.277,0.0,8.22518084236726,1.534250905577544,0.0871593325118291,0.014311407373355744,-0.0022137843833350697,0.027145161172899016,0.01162105979876887,0.004539179814424126,0.008802237981881874,0.12477299909909584,0.007095804757716871,0.0006144206681365442,0.02517487662387552,0.003678855471456618,0.023485530402096493
134.778,0.0,5.771817930622307,1.2836860626736124,0.11116202087448765,0.01946754797811719,0.005028172529517803,0.020898015864685558,0.01710317529872737,0.013834882271837526,0.017997160920511103,0.04982731547104899,0.017203111143067603,0.001482127482661097,0.011623697660147203,0.000775891094279494,0.005788083171528468
135.278,0.0,6.177345682939057,1.6415543459064685,0.13757092651860137,0.01483054114992532,0.008799424178012686,0.007805509849353529,0.014108880478324027,0.009124365133925985,0.011416230592671384,0.01660170316011524,0.01744248002240705,0.02570285498568803,0.01892043776699543,0.003756784052763783,0.018736432894990655
135.777,0.0,4.253846687146589,1.4151072590349354,0.129323147593196,0.019959161662365915,0.008529076660857938,0.025520123101266053,0.01265221853673786,0.007279379130574356,0.022747904856308048,0.12094076478324248,0.016524673229317877,0.02666111522571211,0.02389863685425932,-0.0004471823049286257,0.045200603873758745
136.277,0.0,7.47271897801305,1.5956094482814198,0.154908137016511,0.01672041860923819,0.0028348096278957785,0.008807061898129413,0.013433896984675273,0.002740435897609508,0.025233050184018096,0.09849206466607374,0.018059224663262825,0.021252108216496382,0.023315134514784334,0.012553567529604643,0.026860316599578674
136.78,0.0,3.131398123775061,1.505187993526942,0.14621192422774354,0.021060081419757418,0.02164341828057298,0.04076092139398015,0.01969895093040942,0.006786131043821391,0.005326322792114872,0.07392346851711913,0.019249688493098244,0.01658763351239618,0.015498320560650985,0.002837682752909791,0.028779631747931727
137.277,0.0,5.146093818567529,1.222918921128597,0.15598070312491205,0.02096872264128407,0.0005521654197389151,0.0013068264200010353,0.013988035220820193,0.005627741703734711,0.012627564213104412,0.07419114530204901,0.019867307727633378,0.005981836297389845,0.016771400481613664,0.011513151568717525,0.04934030562954316
137.777,0.0,4.0005934080050745,1.3416746559858412,0.14549248128764697,0.021363519471058027,0.0018686729279549226,0.041544912713814566,0.013510524860547202,0.008317964911207993,0.013449045583265143,0.0903067532084813,0.025175160905697658,0.030469904167773156,0.018054721973939866,0.011447916280744371,0.051873438890457
138.277,0.0,4.233726261064735,1.9043181184634526,0.1065045604412956,0.021005286345167497,0.010301821622079918,0.006176476718906865,0.0117590777096046,0.015563523157357324,0.00025615172793626236,0.04373284762689208,0.015138261664956446,2.699496747621878e-05,-0.005964392889158458,0.01040949420205883,0.0408045357385664
