Time (s),ROI.01 [],ROI.02 [],ROI.03 [],ROI.04 [],ROI.05 [],ROI.06 [],ROI.07 [],ROI.08 [],ROI.09 [],ROI.10 [],ROI.11 [],ROI.12 [],ROI.13 [],ROI.14 [],ROI.15 [],ROI.16 [],ROI.17 [],ROI.18 [],ROI.19 [],ROI.20 [],ROI.21 [],ROI.22 [],ROI.23 [],ROI.000 [],ROI.24 [],ROI.25 []
105.275,4.727691001472189,0.5170559690766322,2.2290511640490007,2.6414731024242806,2.4573448490100414,4.027210151878787,1.629950624330263,1.8156664220400598,0.057895266049756346,0.013053116206993832,0.37865764636311255,5.861360916236228e-05,0.23018749399748087,0.5104203271285442,0.3178277584174897,0.03772834299496961,0.5583131948350284,0.8737785228668714,1.2561542199289786,0.00017665369624088103,0.1658611119830043,0.4322713948808368,-0.005199222369575469,0.0,0.000349329857921422,0.17357678718942607
105.793,4.6956734534902695,0.5158923247047665,2.2030933484627893,2.6941569924686526,2.438336599984623,4.031961319161661,1.6378635155034167,1.8227385939307406,0.06091936240688537,0.014194919851665313,0.3805092805222859,0.004422042486599219,0.2669347432521843,0.5160767633027153,0.3215985777380494,0.04398963697507015,0.5587302710527583,0.877362164141417,1.271941850734641,0.005345981851729877,0.16381086260681144,0.4300294380081101,0.030786285533475132,0.0,0.002233204829201705,0.17047681547953536
106.277,4.688738419663492,0.512789770557074,2.1948937428649105,2.704224201721149,2.385600084619654,4.052486982384164,1.6489958839940349,1.8448214504211904,0.05608270585357181,0.010881887713032709,0.378760528076487,0.005185996610020448,0.2721389421078126,0.511997768654167,0.3206684251630827,0.040327929429616056,0.5542943091813629,0.8805065391333039,1.2786954674035325,-0.00011661893382563555,0.1654327077286428,0.424126518884273,0.03541305502107435,0.0,0.005156241259103633,0.17945196218235454
106.775,4.760166050033515,0.5229316116667195,2.254634107364012,2.730867720270606,2.408437884051013,4.030998593910158,1.6498649760954183,1.9010563876497486,0.06605813048314094,0.013019740092822505,0.3913287076958567,0.006279547527144183,0.28502315347757806,0.5213378083895378,0.32790875536341096,0.046647386546854505,0.567569546873186,0.8996462553581481,1.271497678281719,0.008734900918650266,0.1821117468551364,0.434410335609103,0.022803944234633774,0.0,0.008768501555234573,0.1855892613930442
107.286,4.72562409349363,0.5190098662905732,2.2312745877687172,2.779341408357218,2.3571737443243834,4.0955127036808685,1.6552829747129365,1.9143957053645235,0.05920575653494701,0.004983993770392264,0.38862206548187817,0.022410954860051922,0.2766272237781859,0.5169522544647702,0.3241749633106934,0.045564621193285894,0.5636305339185387,0.8864828191125396,1.2736732990944306,0.00535986880447359,0.17164100314923034,0.4316865469730034,0.007921458596426033,0.0,0.009103073234624226,0.18278061128196813
107.777,4.760372917494813,0.5211348680595728,2.212362158714395,2.7772365025060957,2.3038777236820356,4.1019916431415115,1.6473007828445758,1.8545629063728062,0.06355575500238705,0.006415809238895629,0.3914645263383887,0.031969420968294596,0.28719306129368655,0.5198960181724032,0.3252807326482598,0.04621113402018626,0.5667662468594115,0.8999328258464083,1.2736459211475115,0.0039040118048663443,0.18321778223143168,0.42788420708837166,0.026807530378714164,0.0,0.01325675413066326,0.18705799632426373
108.276,4.851047741437736,0.5489896236305777,2.2653867072357814,2.7891247319446233,2.315171883796966,4.162172749199279,1.6673719565862624,1.8633347288315916,0.06316875765255364,0.0062628505885273566,0.4009770366433325,0.022533700799506635,0.308461271961522,0.5258734043124459,0.32711535485342796,0.04843630027480142,0.5703229626294953,0.9177514669248142,1.2748218820443507,0.006260427270718357,0.18775928545225107,0.43093709624150683,0.015343030601717532,0.0,0.027930646349487363,0.18259375952675755
108.776,4.783735439208476,0.5423967926817224,2.23662929316851,2.8361654217670047,2.253646827172125,4.098707931758376,1.6342853789619818,1.8716332462900378,0.06063882799851198,0.006611076180594114,0.3916993958923622,0.01739897855519871,0.2896307759306825,0.520097610996388,0.326450147881218,0.041906659083247595,0.5695715934081159,0.9057014538476281,1.277476731121092,0.003007310682347577,0.17244236321930015,0.42468930647257236,-0.029461845679774196,0.0,0.018247072249699313,0.17558291268509993
109.286,4.532416590418669,0.5368287133703142,2.0663005634401688,2.972999263249046,2.2689692461886466,4.222714661232545,1.6696319000495472,1.9055632200920183,0.06164778242670976,0.006223361746085154,0.3940049583083348,0.02536488313342064,0.29289240936572375,0.5243052872475904,0.3280049157398705,0.04832357156814864,0.5730525221165277,0.9028248259072292,1.2899372342381368,0.007730605772093961,0.1846507738705485,0.4315486182761053,0.07430486709221443,0.0,0.03479161848184116,0.1906847396763306
109.776,4.515254987448605,0.5281664199010905,2.0790527177293208,2.954354500020451,2.1645904030864473,4.1617080575266385,1.6560141042591288,1.8889908276596628,0.053644917451810936,0.006272544473890793,0.3862794240294651,0.02057117305696211,0.2802864361333198,0.5141033990864796,0.32308489054573414,0.04260762659812163,0.5609627083947683,0.8804116088706254,1.2660968984559928,0.002557630701509494,0.1740099154615331,0.42213491895889854,-0.005323658074610457,0.0,0.022909502051900805,0.18186689334372533
