Time (s),ROI.01 [],ROI.02 [],ROI.03 [],ROI.04 [],ROI.05 [],ROI.06 [],ROI.07 [],ROI.08 []
14.777,0.0,0.04160234089178695,0.0025291425095806718,1.0210732378900942,0.2078596979462082,0.025438876543732888,0.01976110465925354,0.0231430185630192
15.277,0.0,0.018936089991658748,0.008004396279228292,0.018539944726928624,0.06728910656342794,0.04321776831224536,0.009391817688319372,0.019431394285007123
15.788,0.0,0.011161014830415835,0.009842770557584974,0.0996634561963202,0.07451087537490965,0.018528157861855223,0.005334634498724747,0.01707677030569471
16.277,0.0,0.01826065030835425,0.010833784732111058,0.6056820133681847,0.06331007427876033,0.010163602073879624,0.016974083387723278,0.01760108687961922
16.789,0.0,-0.0016009330950506788,0.013266947404433902,0.18013868858668267,-0.002432635726676151,0.010785373399879365,0.007177438298662159,0.0031821973025253085
17.277,0.0,0.01792753314486095,0.0029506501011556632,0.7084771138522314,0.024934723717937295,0.005052168989593839,0.0055886348725156815,-0.0031558014483677914
17.777,0.0,0.014552467308328137,0.002335626084952207,0.2164133788504352,0.000946025004818463,0.020733060279280527,0.010986845174142022,0.01007046253575498
18.287,0.0,0.035149291661385265,0.002664322344419857,0.5561593327915305,-0.010512224300313048,0.028102124853443877,0.025995716332399825,0.0237742612919249
18.778,0.0,0.029985658436545288,0.0027247869805791195,0.21783506344094317,0.023784263257874222,0.013583874178087825,-0.009704479987381033,-0.007499001351254871
19.277,0.0,0.023664992666532443,-0.008108335498459475,0.2661196710516807,-0.06263842172062722,0.014023094921042527,0.004263170616294175,0.014297035842454833
19.787,0.0,0.011194708635364214,0.00630231718298096,-0.3098170148940067,0.09413328025411949,0.0007544138163373262,-0.006542752972229783,-0.0010396993244375363
20.278,0.0,0.007742606412730826,0.01398144384705095,0.9319696317712158,0.07811643158610754,0.04112462502975592,0.01354895863457995,0.017478241320821004
20.777,0.0,0.018912208654106796,0.02404779577229907,1.0178433128752082,0.0030273184931443025,0.01893361332630001,0.010203229221587012,0.019581836903085906
21.289,0.0,0.027867675547884753,0.0020882428754824883,0.0652691753969865,0.08344586928970685,-0.0015085747238712114,0.013669701315737833,0.03030017268076414
21.778,0.0,0.018880607379939393,0.022959736672928447,0.3170946844026744,0.012921972269242302,0.006754341095611352,-0.0011356100746419847,0.007756709698926991
22.289,0.0,0.027208791666494925,0.012353636067065263,1.4513937641858294,0.07156153575743146,0.02653984752537895,0.013389700401558522,0.026174188422086558
22.778,0.0,0.04774088322424023,0.03752420355266719,1.1445239974283927,0.050483475196874836,0.029199814274802536,0.009687433553354644,0.015242491925861279
23.277,0.0,0.02975864806919672,3.431267101384416e-05,0.42473787049194106,0.09209371458951968,-0.0020017646856279486,0.015281990048077506,0.009665332933196241
23.778,0.0,-0.00290102743917871,-0.003022503005518841,0.10768888092205485,0.0030078527772809246,-0.009369759846711253,-0.00893263168886259,0.0004548093463201159
24.277,0.0,0.007166132101980156,-0.0001235273110708068,0.4616618966403076,0.07454047741368393,0.025248268208663913,0.0019201293843372628,0.015799403860558104
24.777,0.0,-0.007995008504368864,-0.0036042040400577732,-0.1680818706565193,0.002947768215053828,0.009044295018782959,0.006126556454409093,0.010197797685619313
25.286,0.0,0.03902751387573887,0.016967460857671833,0.3895046999384794,0.12600426257826736,0.030349400219762613,0.0040667894058081305,-0.004026679024780488
25.778,0.0,-0.0014946494550257827,0.00796272124878662,-0.14909785302584805,0.024012596365915313,-0.0018352951147215756,0.00872778318419892,0.009198767827203453
26.278,0.0,0.00907234827029056,0.020816517574898954,0.37995562953077006,0.03853944283079721,0.016645957385379204,0.00442304084204857,0.01595457728775633
26.78,0.0,0.07854271518943552,0.007989887825204461,0.353193734058841,0.07999225741685378,0.04234402449957997,0.017090690619765918,0.014778665584733128
