Time (s),ROI.01 [],ROI.02 [],ROI.03 [],ROI.04 [],ROI.05 [],ROI.06 [],ROI.07 [],ROI.08 [],ROI.09 [],ROI.10 [],ROI.11 [],ROI.12 [],ROI.13 [],ROI.14 [],ROI.15 [],ROI.16 [],ROI.17 [],ROI.18 [],ROI.19 [],ROI.20 [],ROI.21 [],ROI.22 [],ROI.23 [],ROI.000 []
116.787,-0.029947762093621155,0.11067593365492939,-0.23977059276475005,-0.017652472306024555,-0.01700842641551039,-0.005007535763907256,-0.009403722153311466,-0.00829109135564494,0.00797180946377971,0.0016200570730478911,0.02366558310062607,-0.024522034470558608,-0.009927114854354144,0.015087609956390644,0.01881519773164343,0.02446977341687468,0.02483182630815417,-0.023567590189080424,-0.003925535126607327,0.010482262160663405,0.016951527650965775,0.023758973642722395,-0.003660009358966096,
117.278,-0.02678089246940526,0.040717160672863635,-0.16857045601009812,-0.029163106382906496,-0.019009917761274243,-0.00875301606374566,-0.019238034361808282,-0.022247283972794654,0.0031358188339370647,0.015917989359297606,0.01298546354245792,-0.009717791513333782,-0.005699742035202525,0.02097941608588153,0.011664059699255045,0.009383737658948134,0.02241102551381328,-0.018703847514294446,-0.004757306482506182,0.011035069654622625,0.006743855046881708,0.018704670808406185,-0.007513927277065553,
117.787,0.0012875434653745264,0.013020374747151038,-0.06903676559401686,-0.01350061507644013,-0.0048701585132486175,-0.0057769365812011565,-0.012890636150100995,-0.011692221226781511,0.0035555446925030964,0.024301423616871955,0.00996940222071229,-0.022433356615792592,-0.0048063111831251355,0.013052261501777877,0.01053717610816775,0.009179714508510845,0.021195009661359333,-0.016310234925489532,-0.001924876671367954,0.005891150360467419,0.007435013826229578,0.022823206661228876,-0.0013491312349396937,
118.277,0.016704081566458705,-0.011265777687665842,-0.027435221759069133,-0.018855671331443568,-0.01408813363492252,-0.005556529713529571,-0.017403045223227977,-0.02395420909424192,0.00463647144426625,0.022806348480278023,0.0030041468580518315,-0.009887609561285902,-0.0038779217857585605,0.022532558377693013,0.011266665409006988,0.013007152667927449,0.012080431818690483,-0.006048493523147033,-0.0004461330249481498,0.005425352302808851,0.0001502022193252563,0.021231239197076493,-0.002479325427629672,
118.777,0.00784925569610275,-0.01242201480604871,0.041512084160910616,-0.02272968536974538,-0.017512789590389523,-0.003817436926883558,-0.0179102854074978,-0.031008805286807387,0.0036485713594263318,0.020134966953162328,-4.3325645491252676e-05,-0.010157481891559185,-0.0017118385601374837,0.014293454814367489,0.004622538620574377,0.006805902143996106,0.013849592893208461,0.0018167276034148,-0.005475904389669616,0.0017915882218174453,-0.0007421732179848314,0.024385458676515273,-0.0018976000494525292,
119.287,-0.0029128972139629834,0.010392808602087161,0.07805721303062559,-0.02641718624534519,-0.022540564163379122,-0.006306256041468864,-0.018155037673309834,-0.026853877481469723,0.004395312023464039,0.023528032677275906,1.3539117568159113e-05,-0.005374876785414427,0.0022482934249563034,0.009554124804508821,0.001282688518042835,0.0075550088622637354,0.01673432725840645,0.000564003245701983,-0.0031731266740669915,0.007400983185617499,0.003849168217427406,0.01343625032609628,-0.0008436967114618465,
119.776,-0.003906356415951181,0.009063940960852298,-0.0031449634771381955,-0.004233791900537991,-0.011133408451113483,-0.0016915795454295007,-0.006252439886440024,-0.005952596457011831,0.0011975253522517036,0.019747352521564336,0.010179701580489453,-0.009579984641378679,0.0003178563665540157,0.011626890854131692,0.006789563739566385,0.0018529700293522134,0.012210525746849681,-0.0046882810605093535,0.0012121146201956035,0.009188952082112394,0.0012105342593203554,0.015615975611179236,-0.0017982998353482241,
120.287,-0.02219295835923342,0.05024018599278336,-0.02357522050244422,-0.01696644467791529,-0.021049346407806795,-0.01617419463448194,-0.015756411017606355,-0.01512987272185917,0.007412440120747512,0.022169536751596657,0.014646739181853517,-0.013369225159408301,-0.005722633469924487,0.01355073838895304,0.01318124354227019,0.012687445325824252,0.01964572365990474,-0.021026541192602385,-0.005493362420897023,0.01984868891778694,0.011963139862838482,0.01184767267182908,-0.005516551221180545,
120.777,-0.014695729599875145,0.033903467412914855,0.010038626236542633,-0.008217421572839088,-0.026033797395507492,-0.010025820295990709,-0.011713266179070193,-0.009380074120758017,0.0029635016128839544,0.018402477741871204,0.013156609793323337,-0.006709225968583476,0.00045372376252587426,0.016233524159451184,0.010920372011410676,0.0133440706836481,0.016327693394954195,-0.011008788300146696,-0.005727665206543447,0.015823386772375783,0.014085512712452963,0.007512239352792072,-0.0016549607537758118,
121.276,-0.014510573374915748,0.014444441964675613,-0.054741555948949194,-0.005737467772446791,-0.01610722854262521,-0.0029830301353739406,-0.00851119806755072,-0.008793714832002808,0.0023686413741276628,0.02541105409570822,0.005239530548512656,-0.012402835922790505,-0.0068264494886044,0.017270112075597383,0.010092266594077174,0.003570066829552371,0.009395483985400622,-0.01549630044655486,-0.0021462766474947253,0.023878482022874313,0.004656493975674073,0.014590310187027292,0.00018252715106334752,
121.777,-0.04155504482572558,0.011109685199876098,-0.3775483566517053,-0.017064519239937157,-0.023864552019557613,-0.008969784722092023,-0.010148627315827628,-0.0036732771041463118,0.006337847871285796,0.02822929368140929,0.009706208629218836,-0.00817673013211825,-0.0020943194527080307,0.002588258788190497,0.013399001092661943,0.00850680731261225,0.01236919556032816,-0.014186606052319306,-0.006302138912175528,0.014517892160887181,-0.0005407604789404895,0.013788974407375521,-0.0039039524184552124,
