ROI,spike_time_s,latency_s,stim_window_start_s,stim_window_end_s,condition
ROI.12 [],144.788,14.788000000000013,130,150,20s3
ROI.13 [],144.788,14.788000000000013,130,150,20s3
ROI.14 [],51.281,21.281,30,50,20s3
ROI.14 [],144.788,14.788000000000013,130,150,20s3
ROI.16 [],52.784,22.784,30,50,20s3
ROI.16 [],144.788,14.788000000000013,130,150,20s3
ROI.16 [],170.288,40.28800000000001,130,150,20s3
ROI.17 [],32.284,2.283999999999999,30,50,20s3
ROI.17 [],49.779,19.779000000000003,30,50,20s3
ROI.17 [],54.279,24.279000000000003,30,50,20s3
ROI.17 [],144.788,14.788000000000013,130,150,20s3
ROI.17 [],167.777,37.77699999999999,130,150,20s3
ROI.17 [],186.778,56.77799999999999,130,150,20s3
ROI.18 [],47.777,17.777,30,50,20s3
ROI.18 [],52.284,22.284,30,50,20s3
ROI.18 [],116.79,36.790000000000006,80,100,20s3
ROI.18 [],145.279,15.278999999999996,130,150,20s3
ROI.18 [],167.277,37.27699999999999,130,150,20s3
ROI.18 [],174.778,44.77799999999999,130,150,20s3
ROI.19 [],47.777,17.777,30,50,20s3
ROI.19 [],52.784,22.784,30,50,20s3
ROI.19 [],145.777,15.776999999999989,130,150,20s3
ROI.19 [],170.288,40.28800000000001,130,150,20s3
ROI.20 [],52.284,22.284,30,50,20s3
ROI.20 [],145.279,15.278999999999996,130,150,20s3
ROI.20 [],180.781,50.781000000000006,130,150,20s3
ROI.21 [],143.777,13.776999999999989,130,150,20s3
ROI.22 [],41.276,11.276000000000003,30,50,20s3
ROI.22 [],64.776,34.776,30,50,20s3
ROI.22 [],81.781,1.781000000000006,80,100,20s3
ROI.22 [],143.777,13.776999999999989,130,150,20s3
ROI.22 [],172.278,42.27799999999999,130,150,20s3
ROI.23 [],70.284,40.284000000000006,30,50,20s3
ROI.26 [],73.785,43.785,30,50,20s3
ROI.26 [],97.777,17.777,80,100,20s3
ROI.26 [],144.277,14.276999999999989,130,150,20s3
ROI.26 [],167.277,37.27699999999999,130,150,20s3
ROI.31 [],141.777,11.776999999999989,130,150,20s3
ROI.31 [],163.787,33.787000000000006,130,150,20s3
ROI.E [],42.277,12.277,30,50,20s4
ROI.E [],112.278,32.278000000000006,80,100,20s4
ROI.09 [],41.277,11.277,30,50,20s4
ROI.09 [],112.785,32.785,80,100,20s4
ROI.10 [],40.777,10.777,30,50,20s4
ROI.10 [],113.276,33.276,80,100,20s4
ROI.11 [],40.297,10.296999999999995,30,50,20s4
ROI.11 [],111.277,31.277,80,100,20s4
ROI.12 [],41.788,11.787999999999997,30,50,20s4
ROI.12 [],112.278,32.278000000000006,80,100,20s4
ROI.13 [],40.297,10.296999999999995,30,50,20s4
ROI.13 [],111.777,31.777,80,100,20s4
ROI.13 [],149.779,19.779,130,150,20s4
ROI.14 [],42.277,12.277,30,50,20s4
ROI.14 [],111.777,31.777,80,100,20s4
ROI.14 [],148.286,18.286,130,150,20s4
ROI.16 [],42.79,12.79,30,50,20s4
ROI.16 [],113.276,33.276,80,100,20s4
ROI.17 [],42.79,12.79,30,50,20s4
ROI.17 [],68.278,38.278000000000006,30,50,20s4
ROI.17 [],114.28,34.28,80,100,20s4
