source,run_timestamp,ROI,n_spikes_all,n_spikes_in_stim,n_spikes_outside
blue3.csv,2025-10-13 00:52:38,ROI.01 [],3,3,0
blue3.csv,2025-10-13 00:52:38,ROI.02 [],4,3,1
blue3.csv,2025-10-13 00:52:38,ROI.03 [],3,3,0
blue3.csv,2025-10-13 00:52:38,ROI.04 [],3,3,0
blue3.csv,2025-10-13 00:52:38,ROI.05 [],4,4,0
blue3.csv,2025-10-13 00:52:38,ROI.06 [],4,3,1
blue3.csv,2025-10-13 00:52:38,ROI.07 [],3,3,0
blue3.csv,2025-10-13 00:52:38,ROI.08 [],3,3,0
blue3.csv,2025-10-13 00:52:38,ROI.09 [],4,4,0
blue3.csv,2025-10-13 00:52:38,ROI.10 [],4,4,0
blue3.csv,2025-10-13 00:52:38,ROI.11 [],3,3,0
blue3.csv,2025-10-13 00:52:38,ROI.12 [],3,3,0
blue3.csv,2025-10-13 00:52:38,ROI.13 [],3,3,0
blue3.csv,2025-10-13 00:52:38,ROI.14 [],5,5,0
blue3.csv,2025-10-13 00:52:58,ROI.01 [],3,3,0
blue3.csv,2025-10-13 00:52:58,ROI.02 [],4,3,1
blue3.csv,2025-10-13 00:52:58,ROI.03 [],3,3,0
blue3.csv,2025-10-13 00:52:58,ROI.04 [],3,3,0
blue3.csv,2025-10-13 00:52:58,ROI.05 [],4,4,0
blue3.csv,2025-10-13 00:52:58,ROI.06 [],4,3,1
blue3.csv,2025-10-13 00:52:58,ROI.07 [],3,3,0
blue3.csv,2025-10-13 00:52:58,ROI.08 [],3,3,0
blue3.csv,2025-10-13 00:52:58,ROI.09 [],4,4,0
blue3.csv,2025-10-13 00:52:58,ROI.10 [],4,4,0
blue3.csv,2025-10-13 00:52:58,ROI.11 [],3,3,0
blue3.csv,2025-10-13 00:52:58,ROI.12 [],3,3,0
blue3.csv,2025-10-13 00:52:58,ROI.13 [],3,3,0
blue3.csv,2025-10-13 00:52:58,ROI.14 [],5,5,0
blue3.csv,2025-10-13 22:54:35,ROI.01 [],3,3,0
blue3.csv,2025-10-13 22:54:35,ROI.02 [],4,3,1
blue3.csv,2025-10-13 22:54:35,ROI.03 [],3,3,0
blue3.csv,2025-10-13 22:54:35,ROI.04 [],3,3,0
blue3.csv,2025-10-13 22:54:35,ROI.05 [],4,4,0
blue3.csv,2025-10-13 22:54:35,ROI.06 [],4,3,1
blue3.csv,2025-10-13 22:54:35,ROI.07 [],3,3,0
blue3.csv,2025-10-13 22:54:35,ROI.08 [],3,3,0
blue3.csv,2025-10-13 22:54:35,ROI.09 [],4,4,0
blue3.csv,2025-10-13 22:54:35,ROI.10 [],4,4,0
blue3.csv,2025-10-13 22:54:35,ROI.11 [],3,3,0
blue3.csv,2025-10-13 22:54:35,ROI.12 [],3,3,0
blue3.csv,2025-10-13 22:54:35,ROI.13 [],3,3,0
blue3.csv,2025-10-13 22:54:35,ROI.14 [],5,5,0
blue3.csv,2025-10-13 22:57:34,ROI.01 [],3,3,0
blue3.csv,2025-10-13 22:57:34,ROI.02 [],4,3,1
blue3.csv,2025-10-13 22:57:34,ROI.03 [],3,3,0
blue3.csv,2025-10-13 22:57:34,ROI.04 [],3,3,0
blue3.csv,2025-10-13 22:57:34,ROI.05 [],4,4,0
blue3.csv,2025-10-13 22:57:34,ROI.06 [],4,3,1
blue3.csv,2025-10-13 22:57:34,ROI.07 [],3,3,0
blue3.csv,2025-10-13 22:57:34,ROI.08 [],3,3,0
blue3.csv,2025-10-13 22:57:34,ROI.09 [],4,4,0
blue3.csv,2025-10-13 22:57:34,ROI.10 [],4,4,0
blue3.csv,2025-10-13 22:57:34,ROI.11 [],3,3,0
blue3.csv,2025-10-13 22:57:34,ROI.12 [],3,3,0
blue3.csv,2025-10-13 22:57:34,ROI.13 [],3,3,0
blue3.csv,2025-10-13 22:57:34,ROI.14 [],5,5,0
