ROI,start_s,end_s,duration_s,peak_to_peak
ROI.02 [],103.277,113.277,10.0,0.4779395973014625
ROI.02 [],103.786,113.786,10.0,0.4779395973014625
ROI.02 [],104.278,114.278,10.0,0.4779395973014625
ROI.02 [],104.786,114.786,10.0,0.6189149925994835
ROI.02 [],105.279,115.279,10.0,0.6189149925994835
ROI.02 [],105.785,115.785,10.0,0.6189149925994835
ROI.02 [],106.285,116.285,10.0,0.6189149925994835
ROI.02 [],106.785,116.785,10.0,0.6189149925994835
ROI.02 [],107.277,117.277,10.0,0.6189149925994835
ROI.02 [],107.779,117.779,10.0,0.6189149925994835
ROI.02 [],108.28,118.28,10.0,0.6189149925994835
ROI.02 [],108.779,118.779,10.0,0.6189149925994835
ROI.02 [],109.278,119.278,10.0,0.6189149925994835
ROI.02 [],109.778,119.778,10.0,0.5232628094885284
ROI.02 [],110.279,120.279,10.0,0.5232628094885284
ROI.02 [],110.777,120.777,10.0,0.49695514838002763
ROI.02 [],111.277,121.277,10.0,0.49695514838002763
ROI.02 [],111.777,121.777,10.0,0.4697034856246964
ROI.02 [],112.277,122.277,10.0,0.4697034856246964
ROI.02 [],112.788,122.788,10.0,0.4697034856246964
ROI.02 [],113.277,123.277,10.0,0.4697034856246964
ROI.02 [],113.787,123.787,10.0,0.4697034856246964
ROI.02 [],114.279,124.279,10.0,0.4697034856246964
ROI.02 [],114.777,124.777,10.0,0.27712444331162556
ROI.02 [],115.278,125.278,10.0,0.25817654078650354
ROI.02 [],115.777,125.777,10.0,0.25817654078650354
ROI.02 [],116.289,126.289,10.0,0.3033190628608931
ROI.02 [],116.778,126.778,10.0,0.3033190628608931
ROI.02 [],117.277,127.277,10.0,0.3033190628608931
ROI.02 [],117.777,127.777,10.0,0.3033190628608931
ROI.02 [],118.277,128.277,9.999999999999986,0.35004287767110065
ROI.02 [],118.789,128.789,9.999999999999986,0.39401043964802246
ROI.02 [],119.277,129.277,9.999999999999986,0.39401043964802246
ROI.02 [],119.787,129.787,10.0,0.39401043964802246
ROI.02 [],120.278,130.27800000000002,10.000000000000014,0.3744851803593912
ROI.02 [],120.778,130.77800000000002,10.000000000000014,0.3744851803593912
ROI.02 [],121.276,131.276,10.000000000000014,0.3744851803593912
ROI.02 [],121.778,131.77800000000002,10.000000000000014,0.3744851803593912
ROI.02 [],122.285,132.285,10.0,0.40021674575032157
ROI.02 [],122.786,132.786,10.0,0.40021674575032157
ROI.02 [],123.277,133.277,9.999999999999986,0.40021674575032157
ROI.02 [],123.787,133.787,10.0,0.40021674575032157
ROI.02 [],124.279,134.279,10.0,0.40021674575032157
ROI.02 [],124.782,134.78199999999998,9.999999999999986,0.40021674575032157
ROI.02 [],125.283,135.28300000000002,10.000000000000014,0.40021674575032157
ROI.02 [],125.783,135.78300000000002,10.000000000000014,0.40021674575032157
ROI.02 [],126.287,136.287,10.0,0.40021674575032157
ROI.02 [],126.777,136.777,9.999999999999986,0.40021674575032157
ROI.02 [],127.293,137.293,10.0,0.40021674575032157
ROI.02 [],127.777,137.777,9.999999999999986,0.40021674575032157
ROI.02 [],128.277,138.277,10.0,0.40021674575032157
ROI.02 [],128.776,138.776,10.0,0.40021674575032157
ROI.02 [],129.287,139.287,10.0,0.31819430315258385
ROI.02 [],129.778,139.778,10.0,0.28813491480128417
ROI.02 [],130.279,140.279,10.0,0.28813491480128417
ROI.02 [],130.788,140.788,10.0,0.28813491480128417
ROI.02 [],131.286,141.286,10.0,0.28813491480128417
ROI.02 [],131.778,141.778,10.0,0.28813491480128417
ROI.02 [],132.278,142.278,10.0,0.28813491480128417
ROI.02 [],132.777,142.777,10.0,0.28254370395251016
ROI.02 [],133.286,143.286,10.0,0.3523337075739989
ROI.02 [],133.776,143.776,10.0,0.3523337075739989
ROI.02 [],134.288,144.288,10.0,0.3612359466664845
ROI.02 [],134.778,144.778,10.0,0.3660619127895599
ROI.02 [],135.287,145.287,10.0,0.3660619127895599
ROI.02 [],135.778,145.778,10.0,0.3660619127895599
