Time (s),ROI.01 [],ROI.02 [],ROI.04 [],ROI.05 [],ROI.06 [],ROI.07 [],ROI.08 [],ROI.09 [],ROI.10 [],ROI.11 [],ROI.12 [],ROI.000 []
82.778,-0.9461790734131056,-0.7601607561778103,-0.9094665521177686,-0.8093893965247845,-0.9779113705681336,-0.6650276237490895,-0.7642971531128425,-0.849427075465935,-0.8501467303944438,-0.9672731163630511,-0.6670848777484382,-1.0
83.279,-0.9458239277912546,-0.7604734619419392,-0.9096321739949174,-0.8097572410278595,-0.9784159597445975,-0.6656413106507056,-0.764669674992377,-0.8492635983530737,-0.8534890039914633,-0.9662656090254951,-0.6664288267151415,-1.0
83.778,-0.9456278745337311,-0.7595223589253223,-0.9087786329716019,-0.8091756925754469,-0.9776858732879972,-0.6646477625524693,-0.7643379161970837,-0.8467403257021936,-0.8509556589962661,-0.9668218014926887,-0.6663781834870868,-1.0
84.286,-0.9455987360151293,-0.7603974785827097,-0.9079577498909035,-0.8091770972562581,-0.978163217263668,-0.664867419975642,-0.7641409557365971,-0.847087369065695,-0.8504858205748838,-0.9665130707804683,-0.6657968411885135,-1.0
84.778,-0.9466010009558474,-0.761415187735127,-0.9105063225946092,-0.8104306225013417,-0.9783279588904095,-0.6652499600444396,-0.7641228134784291,-0.8488308027455366,-0.8553634434083205,-0.9671238755631492,-0.6667220065133461,-1.0
85.278,-0.9460349246901933,-0.7608207932029171,-0.9089798908345414,-0.8103407794040789,-0.9779294317390815,-0.6656670172538431,-0.7654956906280832,-0.8482810729419921,-0.8525142494072512,-0.9673991231671618,-0.6672780596770485,-1.0
85.78,-0.9461181511047626,-0.760643547480066,-0.9093402351063804,-0.8111886006272612,-0.977281861633811,-0.6655124939576934,-0.7649727004556903,-0.8479930321183471,-0.8544638323571829,-0.9672112125548938,-0.6675820628047503,-1.0
86.283,-0.9457912863484326,-0.7613054666392902,-0.9091200163682636,-0.8114802230862921,-0.9784396871534947,-0.6651883846666284,-0.7651175075305967,-0.8482169606284232,-0.8537751071035669,-0.9686779128345048,-0.6668174940357748,-1.0
86.783,-0.9459445915155134,-0.760079055349219,-0.9091293071446689,-0.8105558431683842,-0.978653967818533,-0.6653715123960388,-0.7643292418224594,-0.8499192360778134,-0.8526621340944509,-0.966551844032577,-0.6670576533369567,-1.0
87.287,-0.9459441878836491,-0.7606081562414606,-0.9089501341705882,-0.810045234303996,-0.9769912355168894,-0.6649354259285799,-0.764400754427918,-0.847721662785081,-0.8523161602211291,-0.966755725741068,-0.6668166045005044,-1.0
87.786,-0.9464854568105278,-0.7602269916524567,-0.9092250312964507,-0.8105663494794337,-0.9782262023008167,-0.6655917818641953,-0.7650408414922649,-0.84781629428343,-0.8511870560526125,-0.966794876926676,-0.6674817228023271,-1.0
88.278,-0.946682966425241,-0.7606097899559715,-0.9095249336826645,-0.8098109110320351,-0.9788776872423228,-0.6656264270982827,-0.7658159028592738,-0.8482469782664109,-0.8517321399959005,-0.9681862623514375,-0.6666513306603432,-1.0
88.778,-0.9459291764212148,-0.7607541919746243,-0.9083366387095629,-0.8095272029492032,-0.9782884395636211,-0.6652048684614024,-0.7638006176471951,-0.8486479723053126,-0.8521516105371234,-0.9662136133990972,-0.6675422694142957,-1.0
89.278,-0.9465723786215828,-0.7618290498134773,-0.9098972024479381,-0.8112965816210149,-0.9785657721143497,-0.6659073354219094,-0.7642022164576476,-0.8485759491855117,-0.8512254749790724,-0.9668264479554604,-0.6667973587255627,-1.0
89.797,-0.9464871708314738,-0.7611229276053173,-0.9101234998683958,-0.8108549038749001,-0.9783090713306447,-0.6654576146110822,-0.7645244015406493,-0.8495595104595653,-0.8530014989367783,-0.9658334010313486,-0.6673386932308899,-1.0
90.277,-0.9463586669611704,-0.7610352693643607,-0.9091696029147321,-0.8106186030547069,-0.9786813724216115,-0.6654593840427637,-0.7642371065286415,-0.8494065674552801,-0.8550762727320175,-0.9665117898096064,-0.6673258093168032,-1.0
90.778,-0.9457835584150847,-0.7594401026561036,-0.9089394876291259,-0.8102491397558308,-0.9782748358112152,-0.6653714615169155,-0.7644456106594792,-0.848270399500964,-0.8532757925831539,-0.9641591731707614,-0.6662798748026895,-1.0
91.289,-0.9463449731854896,-0.7608433321385192,-0.9096443941867822,-0.8098649055553322,-0.9787227890627878,-0.6653677358768709,-0.7652612387487943,-0.8494599454167832,-0.8517400049717594,-0.9646826205681037,-0.6664612901438897,-1.0
91.779,-0.9463137510353825,-0.7602986928964341,-0.9095942889884152,-0.8102992502986968,-0.9793927041162168,-0.6652127870658997,-0.7646887093538237,-0.8492018050367747,-0.8512157378113128,-0.9657071909218933,-0.6666294929613423,-1.0
92.276,-0.9459519096863633,-0.7600408860152064,-0.9091537530771128,-0.8098614574393972,-0.9780456711543419,-0.6656184551189572,-0.764342066186021,-0.8477003325378707,-0.8503964980503671,-0.9662551495855964,-0.6666620693018317,-1.0
92.789,-0.9465099159294778,-0.7604032276228239,-0.9088703202369269,-0.809051041289742,-0.9767991694753394,-0.6650592729611171,-0.7638703993738638,-0.8472589139526697,-0.8502572621707438,-0.9670291813987082,-0.6666569750194833,-1.0
93.278,-0.94567648764349,-0.7602427166450433,-0.9093727944391621,-0.8094877084940227,-0.9775749939713624,-0.6644512940083828,-0.7627860800846062,-0.8482768633259447,-0.8523675959973375,-0.9664497396300071,-0.6662384370856153,-1.0
93.777,-0.9456413772996443,-0.7608237946161627,-0.9099150002338978,-0.8097988738441034,-0.977320515826602,-0.6643448203205728,-0.7632762089148418,-0.8486028347200704,-0.8526706530377245,-0.9682282879424718,-0.6663146294163463,-1.0
94.287,-0.9466440426517961,-0.7600240233468935,-0.9094960838621702,-0.8102026566179626,-0.9791444785580179,-0.6650989127728542,-0.7633793459889604,-0.849133139653918,-0.8522285145389779,-0.9666379030389154,-0.6655085677443274,-1.0
94.779,-0.9459609512292166,-0.7609550714271529,-0.909556518276695,-0.8105310112674854,-0.977870177704689,-0.6647156551232248,-0.7647881885840276,-0.8493061375257037,-0.8537868682296859,-0.9667989637636196,-0.6661388489142455,-1.0
95.278,-0.9457967143054782,-0.760801537048701,-0.9088721631529061,-0.8105154281093727,-0.9783877870578117,-0.6646430839249738,-0.7642384919482217,-0.8488104395705915,-0.8524432940531866,-0.9657264874376315,-0.6658363714153893,-1.0
95.777,-0.9457717145535351,-0.7599505798458875,-0.9080294102288093,-0.8100233553563245,-0.9769315995015625,-0.6647442166575286,-0.7652850860446271,-0.8483227721175495,-0.8516025991389788,-0.9642989317419909,-0.6665024186614256,-1.0
96.279,-0.9459905537257691,-0.7596438522788541,-0.9096203047264826,-0.809723321615343,-0.9784278781194595,-0.6645857810925574,-0.7632427718532656,-0.8473827811262818,-0.852808237627498,-0.9658577570540006,-0.6662621034905724,-1.0
96.778,-0.9458976999311819,-0.7608902441184959,-0.9091404262443714,-0.8099674249783054,-0.9770308731775775,-0.6651282137318982,-0.7642625211372182,-0.8496182684797241,-0.8510970571054369,-0.9661262439037286,-0.6667158213115121,-1.0
97.278,-0.946258033735947,-0.7601638335130836,-0.9095078336366377,-0.8096670756077056,-0.977644053532156,-0.6650449830939058,-0.7641834432231271,-0.8481041587527205,-0.849016063540259,-0.9657955595778928,-0.6669421739777465,-1.0
97.778,-0.9457369667146196,-0.759552938746429,-0.9086872968481536,-0.8089600256148347,-0.9776641771153874,-0.6645415105084846,-0.7644391683344206,-0.8465191011671983,-0.8493574853047959,-0.9643095613528804,-0.6658719261835669,-1.0
98.288,-0.9453870327936703,-0.7595618085545731,-0.9084644806125705,-0.8095042371814319,-0.9778460322676005,-0.665048710792969,-0.7635361281792771,-0.8474142936488706,-0.8512176128792537,-0.9650500210407348,-0.6663598253635925,-1.0
98.778,-0.9458901561826694,-0.7598817985820174,-0.9086285744523732,-0.8102671453207522,-0.9775574779307582,-0.664843270267469,-0.7643382708198483,-0.8470288952136918,-0.8538125904318506,-0.9672020427058279,-0.6665736118934105,-1.0
99.277,-0.9457843960956058,-0.7606857560995609,-0.9094255738558081,-0.8105845909124817,-0.9772459016918981,-0.6653266958715659,-0.7639491901172352,-0.8487039034026339,-0.8530774503054473,-0.9655255606577826,-0.6667233350806793,-1.0
99.777,-0.9456844571975497,-0.7605408480434014,-0.9081585077141717,-0.8107354212595836,-0.9772201271589401,-0.6649294935419969,-0.7642293527125514,-0.847510882555522,-0.8541703237720345,-0.9650321392526884,-0.666216316072846,-1.0
100.278,-0.9458311907125628,-0.7592815465327776,-0.9075493025454601,-0.8104661268946876,-0.9775094373638911,-0.6646032967044252,-0.7632992268743157,-0.8489370088431746,-0.8525877579111658,-0.9660074530308176,-0.6664333484998122,-1.0
100.778,-0.9460932280374038,-0.7598695628141751,-0.9089093800854404,-0.8101534337006211,-0.9784791451774761,-0.665062713489335,-0.7639053961003962,-0.8484969075374804,-0.8516474219019871,-0.9673476669832243,-0.6657365229566432,-1.0
101.279,-0.9462588740164442,-0.7598105046611664,-0.9087730421392347,-0.809309867202412,-0.9786796880932633,-0.6651119942850364,-0.7649751589760234,-0.8489073576720451,-0.8502802426211548,-0.9659913087361028,-0.6666805028792314,-1.0
101.777,-0.9458460593091457,-0.7593988590835344,-0.9080805904797016,-0.8091048810311201,-0.9773080970619565,-0.6643893818531053,-0.7631529200076181,-0.8470021941633006,-0.851552783901105,-0.9660758309894875,-0.6659477624546175,-1.0
102.277,-0.9461961747263113,-0.7604169875785363,-0.9100807907133263,-0.8106171554254036,-0.9769750612433492,-0.6648386616677319,-0.7646212668834454,-0.8478345762268016,-0.853130836258508,-0.967797957800136,-0.6660284523830545,-1.0
102.778,-0.9454595937130066,-0.7596764143787255,-0.9087093735668601,-0.809840129675729,-0.9772702532952752,-0.6643849847617505,-0.7633647087568902,-0.8490804172053202,-0.8554259388885612,-0.9674257259346597,-0.6652663778651945,-1.0
103.285,-0.9461854682666452,-0.7608052546300066,-0.9090908022549953,-0.8101191269846874,-0.9785990735528565,-0.6649343261216167,-0.7643413873938101,-0.8474704461271962,-0.8526541485461122,-0.9677809329220495,-0.6659677504564685,-1.0
103.777,-0.9460962711643243,-0.7599807586947583,-0.9095569935874488,-0.8104891238280066,-0.977802451967082,-0.665025481003517,-0.7635312348398473,-0.8500967147261035,-0.8530209437375725,-0.9669909173560619,-0.6661511161953373,-1.0
