dataset,file,group,replicate,ROI,roi_number,event_index,time_s,amplitude_dff,latency_from_stim_end_s
0718,5hz3,5Hz,3,ROI.06 [],6,2,67.779,0.7066743591309798,17.778999999999996
0718,5hz3,5Hz,3,ROI.06 [],6,3,111.279,0.7106714806501488,11.278999999999996
0718,5hz3,5Hz,3,ROI.06 [],6,4,129.778,0.709463586966917,29.77799999999999
0718,5hz3,5Hz,3,ROI.07 [],7,1,51.777,0.9792705202744877,1.777000000000001
0718,5hz3,5Hz,3,ROI.07 [],7,2,66.288,0.9875237416346586,16.287999999999997
0718,5hz3,5Hz,3,ROI.07 [],7,3,110.277,0.9943450191367165,10.277000000000001
0718,5hz3,5Hz,3,ROI.07 [],7,4,124.778,0.9944038329635194,24.778000000000006
0718,5hz3,5Hz,3,ROI.08 [],8,1,51.777,0.8323803031883305,1.777000000000001
0718,5hz3,5Hz,3,ROI.08 [],8,2,67.779,0.8388899614418877,17.778999999999996
0718,5hz3,5Hz,3,ROI.08 [],8,3,108.782,0.8429009037996936,8.781999999999996
0718,5hz3,5Hz,3,ROI.08 [],8,4,124.778,0.8442217425415909,24.778000000000006
0718,5hz3,5Hz,3,ROI.09 [],9,1,75.279,20.100329848010084,25.278999999999996
0718,5hz3,5Hz,3,ROI.09 [],9,2,118.279,20.069069996336665,18.278999999999996
0718,5hz3,5Hz,3,ROI.10 [],10,1,77.777,2.2514471082422274,27.777
0718,5hz3,5Hz,3,ROI.10 [],10,2,120.277,2.2861871650770014,20.277
0718,5hz3,5Hz,3,ROI.11 [],11,1,73.778,0.06607252681951943,23.778000000000006
0718,5hz3,5Hz,3,ROI.11 [],11,2,116.278,0.06041563075669225,16.278000000000006
0718,5hz3,5Hz,3,ROI.12 [],12,1,53.286,0.8095611244888158,3.2860000000000014
0718,5hz3,5Hz,3,ROI.12 [],12,2,65.776,0.8185325528865625,15.775999999999996
0718,5hz3,5Hz,3,ROI.12 [],12,3,109.286,0.8222416820801094,9.286000000000001
0718,5hz3,5Hz,3,ROI.13 [],13,1,52.278,0.7532097423707405,2.2779999999999987
0718,5hz3,5Hz,3,ROI.13 [],13,2,64.279,0.7681820164230193,14.278999999999996
0718,5hz3,5Hz,3,ROI.13 [],13,3,110.277,0.7663488367677946,10.277000000000001
0718,5hz3,5Hz,3,ROI.13 [],13,4,129.778,0.7661482526106492,29.77799999999999
0718,5hz3,5Hz,3,ROI.14 [],14,1,51.777,0.9949439503466858,1.777000000000001
0718,5hz3,5Hz,3,ROI.14 [],14,2,64.279,1.0038784374312932,14.278999999999996
0718,5hz3,5Hz,3,ROI.14 [],14,3,111.279,1.0115872188335187,11.278999999999996
0718,5hz3,5Hz,3,ROI.14 [],14,4,129.279,1.0097572917557927,29.278999999999996
0718,5hz3,5Hz,3,ROI.15 [],15,1,51.777,0.4179944953848949,1.777000000000001
0718,5hz3,5Hz,3,ROI.15 [],15,2,67.278,0.424271383972145,17.278000000000006
0718,5hz3,5Hz,3,ROI.15 [],15,3,109.286,0.42263276414056367,9.286000000000001
0718,5hz3,5Hz,3,ROI.15 [],15,4,124.283,0.4219528584625447,24.283
0718,5hz3,5Hz,3,ROI.16 [],16,1,51.777,0.630482869075483,1.777000000000001
0718,5hz3,5Hz,3,ROI.16 [],16,2,67.278,0.6371036508874216,17.278000000000006
0718,5hz3,5Hz,3,ROI.16 [],16,3,109.786,0.6369967194920033,9.786000000000001
0718,5hz3,5Hz,3,ROI.16 [],16,4,123.777,0.6386530622615345,23.777
0718,5hz4,5Hz,4,ROI.01 [],1,1,69.78,0.8207805949383652,19.78
0718,5hz4,5Hz,4,ROI.01 [],1,2,106.277,0.8282420184831575,6.277000000000001
0718,5hz4,5Hz,4,ROI.01 [],1,3,126.777,0.8281944236146953,26.777
0718,5hz4,5Hz,4,ROI.02 [],2,1,69.78,0.9630964560096554,19.78
0718,5hz4,5Hz,4,ROI.02 [],2,2,105.777,0.9738949755622299,5.777000000000001
0718,5hz4,5Hz,4,ROI.02 [],2,3,121.776,0.9736196533828101,21.775999999999996
0718,5hz4,5Hz,4,ROI.03 [],3,1,67.276,0.769131023870253,17.275999999999996
0718,5hz4,5Hz,4,ROI.03 [],3,2,107.78,0.7786450642592976,7.780000000000001
0718,5hz4,5Hz,4,ROI.03 [],3,3,126.777,0.7777396499301789,26.777
0718,5hz4,5Hz,4,ROI.04 [],4,1,69.78,0.811360235860983,19.78
0718,5hz4,5Hz,4,ROI.04 [],4,2,106.777,0.8202956575062614,6.777000000000001
0718,5hz4,5Hz,4,ROI.04 [],4,3,121.776,0.8212306608970215,21.775999999999996
0718,5hz4,5Hz,4,ROI.06 [],6,1,69.78,0.7228112323469499,19.78
0718,5hz4,5Hz,4,ROI.06 [],6,2,105.277,0.7281763054212388,5.277000000000001
0718,5hz4,5Hz,4,ROI.06 [],6,3,121.776,0.7288157600608612,21.775999999999996
0718,5hz4,5Hz,4,ROI.07 [],7,1,69.78,1.0084893235289443,19.78
0718,5hz4,5Hz,4,ROI.07 [],7,2,106.277,1.0180937714111473,6.277000000000001
0718,5hz4,5Hz,4,ROI.08 [],8,1,67.276,0.8517425204042737,17.275999999999996
0718,5hz4,5Hz,4,ROI.08 [],8,2,109.777,0.8581223191288132,9.777000000000001
0718,5hz4,5Hz,4,ROI.09 [],9,1,79.777,20.152754374668877,29.777
0718,5hz4,5Hz,4,ROI.09 [],9,2,118.276,20.51837454414051,18.275999999999996
0718,5hz4,5Hz,4,ROI.10 [],10,1,73.777,2.303388354654824,23.777
0718,5hz4,5Hz,4,ROI.10 [],10,2,118.777,2.3048475084790034,18.777
0718,5hz4,5Hz,4,ROI.11 [],11,1,75.777,0.05762480042630514,25.777
0718,5hz4,5Hz,4,ROI.11 [],11,2,113.277,0.04718507433569631,13.277000000000001
0718,5hz4,5Hz,4,ROI.12 [],12,1,65.777,0.8346920558892189,15.777000000000001
0718,5hz4,5Hz,4,ROI.12 [],12,2,106.277,0.8416563196763466,6.277000000000001
0718,5hz4,5Hz,4,ROI.13 [],13,1,69.78,0.7791297185133038,19.78
0718,5hz4,5Hz,4,ROI.13 [],13,2,107.78,0.783999454352583,7.780000000000001
0718,5hz4,5Hz,4,ROI.13 [],13,3,125.783,0.7841570403108659,25.783
0718,5hz4,5Hz,4,ROI.14 [],14,1,69.78,1.0243952955408446,19.78
0718,5hz4,5Hz,4,ROI.14 [],14,2,105.277,1.0360096690199423,5.277000000000001
0718,5hz4,5Hz,4,ROI.14 [],14,3,121.776,1.0352364334885884,21.775999999999996
0718,5hz4,5Hz,4,ROI.15 [],15,1,69.78,0.4296608493516653,19.78
0718,5hz4,5Hz,4,ROI.15 [],15,2,107.78,0.43466857514242824,7.780000000000001
0718,5hz4,5Hz,4,ROI.15 [],15,3,121.776,0.43528172782734714,21.775999999999996
0718,5hz4,5Hz,4,ROI.16 [],16,1,69.78,0.6491640391253363,19.78
0718,5hz4,5Hz,4,ROI.16 [],16,2,108.286,0.6562826033407678,8.286000000000001
0718,5hz4,5Hz,4,ROI.16 [],16,3,121.776,0.6592555270739985,21.775999999999996
0718,5s3,5s,3,ROI.03 [],3,1,72.277,0.0817712950472075,2.277000000000001
