Time (s),ROI.01 [],ROI.02 [],ROI.03 [],ROI.04 [],ROI.05 [],ROI.06 [],ROI.07 [],ROI.08 [],ROI.09 [],ROI.10 [],ROI.11 [],ROI.12 [],ROI.13 [],ROI.14 [],ROI.15 [],ROI.16 [],ROI.17 [],ROI.18 [],ROI.19 [],ROI.20 [],ROI.21 [],ROI.22 [],ROI.23 [],ROI.000 [],ROI.24 [],ROI.25 []
107.777,4.760372918403397,0.521134868075925,2.2123621589115077,-2.7772365027868586,2.3038777240677875,-4.10199164420876,-1.647300782972606,-1.854562906539168,0.0635557550032048,0.006415809238970587,0.3914645263482777,0.03196942097000129,0.28719306133408895,0.5198960181862419,0.3252807326553859,0.046211134021076024,0.5667662468718027,0.8999328259264453,-1.2736459212151015,0.0039040118049173474,0.18321778223465107,0.427884207096146,0.026807530383737697,,0.013256754131120412,0.18705799632750753
108.276,4.8510477423637735,0.5489896236478137,2.2653867074376657,-2.7891247322262043,2.3151718841852897,-4.162172750280275,-1.6673719567157765,-1.8633347289986801,0.06316875765336642,0.006262850588600538,0.40097703665346396,0.022533700800709988,0.3084612720049788,0.5258734043264439,0.3271153548605946,0.048436300275734055,0.570322962641966,0.9177514670064679,-1.274821882111951,0.00626042727080015,0.18775928545555043,0.4309370962493389,0.015343030604594235,,0.027930646350450634,0.18259375952992407
108.776,4.783735440121663,0.5423967926987514,2.2366292933678316,-2.8361654220555206,2.253646827545893,-4.098707932822889,-1.634285379088926,-1.8716332464578707,0.060638827999292204,0.006611076180671365,0.3916993959022592,0.017398978556127858,0.28963077597148634,0.5200976110102322,0.32645014788837007,0.04190665908405435,0.5695715934205702,0.9057014539282096,-1.277476731188833,0.0030073106823868675,0.17244236322233036,0.42468930648029085,-0.02946184568529807,,0.01824707225032862,0.17558291268814485
109.286,4.5324165912529635,0.5368287133870286,2.0663005636184857,-2.9729992635639295,2.2689692465567193,-4.222714662337231,-1.669631900179711,-1.9055632202654513,0.06164778242750252,0.006223361746157923,0.3940049583182637,0.025364883134775185,0.29289240940698713,0.5243052872615163,0.32800491574704155,0.04832357156907846,0.5730525221290262,0.9028248259868906,-1.2899372343070559,0.007730605772194961,0.18465077387379325,0.431548618283934,0.07430486710614603,,0.03479161848304105,0.19068473967963742
109.776,4.515254988278049,0.528166419917531,2.0790527179080693,-2.954354500333409,2.164590403436812,-4.161708058615491,-1.6560141043882537,-1.8889908278318495,0.05364491745250075,0.0062725444739641836,0.38627942403919724,0.020571173058060308,0.2802864361727506,0.5141033991001314,0.3230848905527961,0.042607626598941434,0.5609627084070004,0.8804116089482857,-1.2660968985236634,0.002557630701542929,0.17400991546459071,0.42213491896655575,-0.005323658075608071,,0.022909502052690826,0.18186689334687908
110.276,4.524166794971656,0.5247056783203542,2.1005747670154458,-2.965949454324419,2.1908725054786675,-4.135309034990547,-1.6364310438723852,-1.8787847322788715,0.057693441667856685,0.00022728934207084947,0.3834118808264832,0.015054745495669729,0.2736050478949759,0.5095876554173573,0.32030198463002385,0.04146102202110547,0.5594664290429316,0.8703696921941845,-1.270982615365833,0.0017056610364038175,0.16934706791085044,0.42244463499803003,0.0013309145189020594,,0.023682011548912585,0.1863098959758806
110.786,4.303972952033224,0.5141804550992267,2.0743455708954626,-3.1804958376456214,2.124493252360475,-4.274647208379033,-1.6470323371476168,-1.9132676068482766,0.05568342260391265,0.002373302467238902,0.3777324672427375,0.0047104067259557385,0.20950979797449948,0.5026051181064879,0.3156786154404251,0.03878447623007661,0.5535887251703847,0.8440908226292315,-1.2745057955285168,-0.00286305904396313,0.17536006109270905,0.4128958339810602,0.03948697407098952,,0.009302022040369142,0.17202903559909144
111.277,4.338961213639982,0.5334523652531665,2.113453890125925,-3.2155410160005875,2.093925127184459,-4.326205050747885,-1.6751540499617048,-1.8822212080575282,0.05887051667244009,0.00039696416779609183,0.39127889531646975,0.023267990043837054,0.26407261547932503,0.5027222668632585,0.31991521816482804,0.044505675145148485,0.5573532058021783,0.8634677568069359,-1.2794680105128202,0.006388762674993569,0.18837957814290462,0.41476072582070256,0.017978288811290252,,0.023394631621288485,0.17933461819417157
111.778,4.032232224341004,0.518660418969447,1.961053881103258,-3.223818083576836,1.9754262002272829,-4.480616728068736,-1.6731097923045417,-1.9274730923606884,0.06095970250149492,-0.00232384821341371,0.3913244931094324,0.021214144115469732,0.21843161993121632,0.5029916696360867,0.3135866599084104,0.03960373530150384,0.5530402437110388,0.8623446431032425,-1.2717824782478355,0.004100193576337983,0.19138686997802207,0.4140352249471328,0.07429663663862755,,0.007496016268345699,0.1753392759275094
112.278,3.966384328513977,0.5074099069041582,1.9298582016366557,-3.2378114350038816,1.9272218742735465,-4.437058854574657,-1.6764913484092667,-1.8990565079923278,0.05769386150050428,0.006329931743182754,0.3896722067983151,0.027105772764357113,0.23262770238883243,0.4947498512598113,0.31560172805732334,0.04077089930265629,0.5472605490817112,0.8725810570731944,-1.2834813309120015,-0.0014615907680138767,0.18118957014837656,0.4049875251522016,0.04957485377626699,,0.020571385654676696,0.18186598668762544
