Time (s),ROI.01 [],ROI.02 [],ROI.03 [],ROI.04 [],ROI.05 [],ROI.06 [],ROI.07 [],ROI.08 [],ROI.09 [],ROI.10 [],ROI.11 [],ROI.12 [],ROI.13 [],ROI.14 [],ROI.15 [],ROI.16 [],ROI.17 [],ROI.18 [],ROI.19 []
104.277,0.0,0.01933890717668584,0.13112401592635253,0.027279526743014045,0.012861666597546341,0.013937806809177949,0.07613525173273765,0.01342330988912408,0.005852123162849833,0.0231979975248206,0.008319197866747377,0.01334239951873577,0.01588955725773275,0.007313453394246997,0.006904572120075908,0.0021777521675155334,0.001604392751346738,0.00019354699245736535,0.01641350839326082
104.777,0.0,-0.021948168447358404,0.013962426412203965,0.03170102372132097,0.026308762626935097,0.024338647503583038,0.07363655118744604,0.03198423005750091,0.03919784862877465,0.016986025467038098,0.010439614207404047,0.014903523568484598,0.02218067894053664,0.013102860479987984,0.008332947184998121,0.012615428963507782,0.014657058078911924,0.003618387877806381,0.015289999563672328
105.278,0.0,0.2598786783886818,0.19020811744765792,0.039865492125142045,0.02238877370990765,0.042028141233007174,0.06937345437488178,0.008086140961609051,0.04481644434907395,0.022423514026210272,0.00544960579629119,0.013931781694241308,0.012115876972107644,-0.0002261818542129711,0.0029725021511384925,0.012171620577779615,0.003437767464547901,-0.003160149890755656,0.01667279524656703
105.777,0.0,0.18659051724246417,0.07890956951397102,0.03209505362999507,0.017864613441265255,0.0480819782533155,0.0006223488781873079,0.0038190689646791106,0.018412123590186534,0.03159887311655194,0.007874791021452165,-0.0005856748987725986,0.012109582975713108,0.0064729949189992085,0.00945313290041623,0.004957304641057353,0.007970431016159513,-0.00010469354437723994,0.007482060159144107
106.289,0.0,0.1460435058048166,0.14969826085460597,0.015589730958796694,0.0025385177115151768,0.0025476633631491725,0.017611668789350027,-0.0014189782629697968,0.02095726480122853,0.01588398487047562,-0.001729968673079819,0.0019049587501921647,-0.006696083784697357,-0.000969716682811098,0.019419054029867107,0.006791942366606946,-0.0028871791154309206,0.004963939928049619,0.01821754288401871
106.777,0.0,0.3527966882185699,0.12771498282782345,0.01972739792334345,0.01354526244927645,0.04144656523339365,0.05790198293099125,-0.002142329974015571,0.016507521738340497,-0.011548463428923593,0.0072014100450251,-0.0008760913497519011,-0.00011265479245957646,0.0033996909487858896,0.015590155380490876,0.011396729178480718,0.006042464689264569,0.0009436591302237035,0.024821090570072448
107.287,0.0,0.36709770229804606,0.11418584381598114,0.019308514134366198,0.01288114778041041,0.03878731789483211,0.03581380495467449,0.0016126579368720506,0.03251897997797538,0.015210512714976728,-0.0032688105308761716,0.008131175792330787,0.008192116161885907,0.009043534970407158,0.006185630404676695,0.0004216552265225235,0.004468770726848388,0.005543521907617415,0.018299863167632765
107.778,0.0,0.22961628557326294,0.01424884789985564,0.032058394670521274,0.01583781251568627,0.022029352927671275,0.006479619880347529,0.008195197628415132,0.03066852821236258,0.009203608278057288,0.002885324328850488,0.0060771257239605634,0.004122227579715131,0.010645983361993088,0.011710810873265831,0.005342839709282258,0.004359713605689103,0.000734681617642761,0.01711437406049905
108.285,0.0,0.5432865744871478,0.1394509485641914,0.01784339691296934,0.019984218070717517,0.04788122356384232,0.03956859449970441,0.00912058159784324,4.87798474741111e-05,-0.00952206384462153,0.0020687074420148877,-0.0023875386995316924,0.024844005837003726,0.00792446515765083,-0.003648741829518462,0.00979878951861406,0.0010978077750138998,0.00762535594309415,0.0009877599522573905
108.777,0.0,0.6180851191854723,0.10381724182385868,0.03469561704167018,0.024510042784864225,0.06067681746171167,0.009743272646147496,0.009160563753915942,0.011944337169678578,0.026689667322964374,0.0072142341202251145,0.0206297312187619,0.03184163902360448,0.006494320200169031,0.008522014275406223,0.012607534447603848,0.006654477245817504,0.010011223068042998,0.013457668929915028
