Time (s),ROI.01 [],ROI.02 [],ROI.03 [],ROI.04 [],ROI.05 [],ROI.06 [],ROI.07 [],ROI.08 [],ROI.09 [],ROI.10 []
52.286,0.0,0.03500528571177901,0.04894073523467469,0.12308779846184392,0.001929400723417274,0.001929400723417274,0.01300175064998691,0.03351795144892308,0.11550991573077138,0.09138360323772819
52.778,0.0,0.03622259572566194,0.04210704727417515,0.11354873516024372,0.001962581586607668,0.001962581586607668,0.012730355020727016,0.03958437194526158,0.07909368120367095,0.05243263434303063
53.288,0.0,0.03293006084913891,0.049589689122361336,0.11533049796643978,0.002146813337303166,0.002146813337303166,0.01585749780436618,0.034647313019831295,0.10299954170324284,0.05760673266824404
53.777,0.0,0.02650459918368045,0.052412119417884,0.11618676268149496,0.002420904226975385,0.002420904226975385,0.014504733426792546,0.024170595201100088,0.13622097447704706,0.07217221060251222
54.278,0.0,0.023176612631046707,0.041889509921841435,0.11574836949911027,0.0019330935647435873,0.0019330935647435873,0.014045243254874636,0.029738115204851378,0.12459425939877884,0.06704854646208126
54.777,0.0,0.03470802297331199,0.04897436685695748,0.11422702841105437,0.002451322297765985,0.002451322297765985,0.012907811623284277,0.03699201048708596,0.11429762456137711,0.061895221074827415
55.278,0.0,0.024844601785469607,0.049971996809053815,0.11966767272830053,0.002336333376034615,0.002336333376034615,0.011429281055016309,0.04124657445894318,0.09253553121357323,0.06002567045343009
55.776,0.0,0.025350318050380995,0.04795766583648556,0.11419472618291383,0.002414647633441001,0.002414647633441001,0.012121048621572686,0.04420489693480617,0.1332408057900418,0.07737468190209014
56.278,0.0,0.0335502082520985,0.05146318247791482,0.11704510211199994,0.0021370958305198273,0.0021370958305198273,0.013760291413822415,0.03569601706295564,0.12722481690267282,0.08062610741944302
56.777,0.0,0.03279799271472833,0.04942014479646338,0.11564156614765785,0.002556334521311454,0.002556334521311454,0.014499626831158038,0.050026509314896175,0.14801477536325142,0.08319371276911404
57.285,0.0,0.034400085920519755,0.04373441203755663,0.12330749260529124,0.0021516258215295665,0.0021516258215295665,0.011135348204422415,0.02990385249519612,0.11199216851788546,0.04268982493078741
57.778,0.0,0.019198242701198836,0.030124961272604358,0.0890212774946735,0.0018236986414439703,0.0018236986414439703,0.0084471337220173,0.01669933379317242,0.07520581738810052,0.03487023395042464
58.281,0.0,0.025588741822933248,0.04061717712639565,0.10679143309296724,0.0023051747628343466,0.0023051747628343466,0.00983935326037133,0.04292887820079195,0.0643093924482148,0.057751485310452724
58.785,0.0,0.024265147413278176,0.043947435209774066,0.10930639284840554,0.0023642340408243506,0.0023642340408243506,0.009175899821789107,0.03072272284101893,0.0789528162599355,0.05065642243384757
59.286,0.0,0.021263342443846617,0.04040086443195747,0.08053695102995645,0.0019818894436526833,0.0019818894436526833,0.010940397309441397,0.028615592797870352,0.0735575754878731,0.05307464119104426
59.777,0.0,0.03176178673573204,0.0366173499535572,0.10144426413967238,0.002070533199991165,0.002070533199991165,0.01191856198377539,0.02750901401189184,0.08216188432437677,0.05039321385606169
60.296,0.0,0.01918737255936726,0.04239943664211696,0.09021140128893732,0.0024796158851909753,0.0024796158851909753,0.00849486427419577,0.029704561498008895,0.0596279115228082,0.06524316101147247
60.777,0.0,0.021182313527257992,0.04963683231381034,0.06941294762738547,0.002596741299667225,0.002596741299667225,0.008522815176874634,0.03078270322798484,0.04395235021035399,0.08609180327170242
61.277,0.0,0.02871095070970363,0.04208390085588275,0.1154597526522424,0.002721082338032553,0.002721082338032553,0.006699506557873526,0.03141880006278527,0.12014547292060927,0.0665864523432834
61.778,0.0,0.022099705353364092,0.03482179092511622,0.07359907365390071,0.002614123562202129,0.002614123562202129,0.0057378394617603155,0.024638680037451823,0.04896659495250088,0.047907139017978204
62.276,0.0,0.02695214841164603,0.03325124149077946,0.08204059576362997,0.002322928838075258,0.002322928838075258,0.008124708945251441,0.0013088919124902038,0.055611838343377205,0.021176286471252147
62.787,0.0,0.00792740106626072,0.006710276683914288,0.023273633360115186,0.0007075408157867537,0.0007075408157867537,0.004173908446009171,0.01015187491560258,0.06745429405137122,0.021672042116518915
63.278,0.0,0.007662475178585164,0.015059421615527967,0.03822242370725221,0.0010299275400725892,0.0010299275400725892,0.002635051835133064,0.021689637298292985,0.0694441593332143,0.04005156145565615
63.777,0.0,0.016972021749607963,0.002495488823475705,0.0035356884023786334,0.0012895522677771924,0.0012895522677771924,0.004893693796575012,0.01753991926965067,0.003705583790173383,0.0390360922340193
64.287,0.0,0.01815564419993801,0.0086316708493435,0.02986704423197512,0.0007987614076109364,0.0007987614076109364,0.00231519650246034,0.013745801117784257,0.06308162507000059,0.019928314908941622
64.778,0.0,0.02015178730636578,0.00824375429783234,0.044425151769869824,0.0008585870921522905,0.0008585870921522905,0.0023908638938487255,0.0251393783712462,0.06418977544658243,0.026034053974812253
65.277,0.0,0.012767155655386504,0.004078058844007031,0.023658127479598872,0.0010347836227692366,0.0010347836227692366,0.0011823858600500756,0.015943723695311794,0.017422446233506073,0.01129053440198885
65.776,0.0,0.022543628624024384,0.009494349567055995,0.0071227446678166035,0.001038894635738927,0.001038894635738927,0.0016691778640477001,0.0026699476935221054,0.030178354851538997,0.03321755456812797
66.288,0.0,0.006296639367203372,0.014751408729902974,0.03141004225958539,0.0011480283267124747,0.0011480283267124747,0.002051003129379122,0.03219027372685027,0.04277521933995543,0.03259313068919423
