Time (s),ROI.01 [],ROI.02 [],ROI.04 [],ROI.05 [],ROI.06 [],ROI.07 [],ROI.08 [],ROI.09 [],ROI.10 [],ROI.11 [],ROI.12 [],ROI.000 []
66.778,-0.8176508628821066,-0.6980646864419938,-0.857749868889844,-0.7245018173785023,-0.9261647715692997,-0.6265743254765472,-0.7514422820736167,-0.8395107444602038,-0.7708178788626253,-0.962379202015212,-0.632093333145453,-1.0
67.278,-0.8175299210340293,-0.6984506589843743,-0.8576044438531135,-0.7244229077764519,-0.9237315649029312,-0.6259955307245346,-0.7525849585454333,-0.8379774214887288,-0.7705209704654817,-0.9631333413567,-0.6323569194881202,-1.0
67.778,-0.8172658199025234,-0.6981005061952354,-0.8581742718917017,-0.7245563416464174,-0.9237303455915944,-0.625622054938464,-0.7510944917387136,-0.8379617662246981,-0.7711031654003964,-0.9638602474108021,-0.6310085214356377,-1.0
68.288,-0.8176443407625773,-0.6975059641753633,-0.8578432419595139,-0.7249475829361077,-0.9245306957070293,-0.6249130128771101,-0.7519339729113709,-0.8359737255482486,-0.7674694753166321,-0.9643995078854365,-0.6303228801425818,-1.0
68.778,-0.8174627473879914,-0.696554879253542,-0.8568814009068408,-0.7256611012794658,-0.9249418833868877,-0.6245307562931213,-0.7506894818802946,-0.8372470539174764,-0.7684194314608394,-0.9634467787874474,-0.6304968894794752,-1.0
69.278,-0.8176016774816555,-0.6976530562429643,-0.8576398745364632,-0.7257987504817054,-0.9253404238030027,-0.6254344191960045,-0.7514000409696383,-0.8373690897573924,-0.7702907668554251,-0.9620725528385803,-0.6301639805763354,-1.0
69.776,-0.8177364208863397,-0.6976793453147537,-0.8570266457632609,-0.7250921764432499,-0.92625455462649,-0.6250941890867058,-0.7519844892584993,-0.8366785791465642,-0.7729857674633249,-0.9636183714860133,-0.6316050664009603,-1.0
70.287,-0.8174133440177692,-0.6973036536595194,-0.8549664158217468,-0.7252384149963712,-0.9238474830405212,-0.624352075942543,-0.7523884889208865,-0.8363964500712027,-0.7711120695118922,-0.9624492657893855,-0.6309524465187858,-1.0
70.779,-0.8176532856630547,-0.6977529977128748,-0.8558151380704533,-0.7259646271307012,-0.9242851222071964,-0.6245258897620026,-0.752420177121052,-0.8366722676617301,-0.7723518991469907,-0.9634321122513911,-0.6309173815618392,-1.0
71.277,-0.8174026737214407,-0.6969387674698716,-0.8559269673881109,-0.7268419919350334,-0.9228073378518366,-0.6244400389256365,-0.7517703581524836,-0.8382980984998958,-0.7719058205830576,-0.9635689787567451,-0.6307999863866036,-1.0
